망원동 브라더스	2.5
인생 수정	3.0
코카브	1.5
다른 사람	2.5
나미야 잡화점의 기적	2.0
봉제인형 살인사건	2.5
아내가 결혼했다	2.5
리버 보이	2.0
나의 눈부신 친구	3.5
숨결이 바람 될 때	3.5
팔코너	2.5
나는 언제나 옳다	2.0
나를 찾아줘	4.0
선량한 시민	1.5
속죄	5.0
나는 나를 파괴할 권리가 있다	2.0
빛의 제국	3.0
퀴즈쇼	2.0
읽다	4.0
붉은 낙엽	4.0
에셔의 손	2.0
그리고 또	3.5
돌이킬 수 없는 약속	2.0
아스타틴	3.5
살육에 이르는 병	2.0
마인드 리더	3.5
3인칭 관찰자 시점	1.5
야시	3.5
시프트	2.0
상냥한 폭력의 시대	3.5
파묻힌 거인	2.0
13.67	3.5
저스티스맨	3.0
미국의 목가	3.5
소각의 여왕	1.0
눈물을 마시는 새	1.5
에브리맨	3.0
기사단장 죽이기	2.0
나를 보내지 마	4.5
직업으로서의 소설가	3.5
스퀴즈 플레이	2.0
유령	1.5
오직 두 사람	3.5
내 심장을 쏴라	2.0
싱글 맨	4.0
알제리의 유령들	1.0
작은 친구들의 행성	3.5
스페이스 보이	2.0
실내인간	2.5
파과	1.5
토니와 수잔 (영화 포스터 표지)	2.5
우먼 인 캐빈 10	2.0
스테이션 일레븐	2.5
삼체	4.0
줄리언 웰즈의 죄	3.5
완벽한 인생	3.5
아몬드	2.5
채텀 스쿨 어페어	4.0
한 스푼의 시간	3.0
크로이든 발 12시 30분	2.5
20세기 소년	0.5
스토너	3.0
자기 개발의 정석	2.5
너무 한낮의 연애	1.5
우리 사우나는 JTBC 안 봐요	3.0
소년이 온다	2.0
한국이 싫어서	3.5
그믐, 또는 당신이 세계를 기억하는 방식	3.5
표백	2.0
로마인 이야기 	2.0
댓글부대	3.5
살고 싶다	4.0
백년 동안의 고독	2.5
사피엔스의 미래	3.5
생의 이면	2.0
자기 앞의 생	3.5
어두운 상점들의 거리	2.0
백의 그림자	2.0
모모	2.0
존재의 세 가지 거짓말	4.0
보헤미안 랩소디	3.0
꿈의 해석	0.5
이반 일리치의 죽음	3.0
달의 바다	1.5
설계자들	1.5
비하인드 도어	2.0
누운 배	2.5
모던 하트	1.5
쇼코의 미소	2.5
오히려 다정한 사람들이 살고 있다	4.0
예감은 틀리지 않는다	2.5
컨설턴트	4.0
고양이를 잡아먹은 오리	1.0
28	2.5
하얀 늑대들	0.5
페스트	2.5
삼국지	2.0
소피의 세계	4.0
가아프가 본 세상	3.0
나는 왜 기독교인이 아닌가	4.0
발로 차 주고 싶은 등짝	1.0
나는 전설이다	3.5
아버지들의 아버지	1.0
위저드 베이커리	3.0
은교	3.0
폭풍의 언덕	3.5
악마의 사도	4.0
무지개를 풀며	4.0
완득이	3.0
바람의 노래를 들어라	3.0
노르웨이의 숲	3.0
정의란 무엇인가	4.0
색채가 없는 다자키 쓰쿠루와 그가 순례를 떠난 해	2.5
기나긴 이별	5.0
죽여 마땅한 사람들	3.0
천연당 사진관	2.5
종의 기원	2.5
7년의 밤	4.0
참을 수 없는 존재의 가벼움	2.5
부활	3.0
안나 카레니나	4.0
도리언 그레이의 초상	4.0
호밀밭의 파수꾼	5.0
삼미 슈퍼스타즈의 마지막 팬클럽	4.0
고래	4.0
노인과 바다	4.0
로드	3.5
유년기의 끝	4.0
당신 인생의 이야기	5.0
변신.시골의사	5.0
체호프 단편선	5.0
용의 이	2.0
여름으로 가는 문	4.0
제5도살장	5.0
카라마조프 가의 형제들	5.0
죄와 벌	4.0
먼 북소리	4.5
편의점 인간	3.5
세계 챔피언	4.5
나의 삼촌 오스왈드	3.5
마틸다 (반양장)	3.5
개 조심	4.5
아북거, 아북거	3.0
맛	4.5
멋진 신세계	3.0
뉴욕 삼부작	5.0
해변의 카프카	2.5
태엽 감는 새	4.5
은하수를 여행하는 히치하이커를 위한 안내서	5.0
엔더의 게임	4.0
노인의 전쟁	4.0
해리 포터와 비밀의 방	4.0
그리스인 조르바	2.0
채식주의자	4.0
1984	4.5
유혹하는 글쓰기	3.0
달과 6펜스	3.0
동물농장	5.0
눈먼 시계공	5.0
엘러건트 유니버스	5.0
연금술사	2.5
인간 실격	3.5
살인자의 기억법	3.0
데미안	3.5
위대한 개츠비	3.5
이방인	4.0
그리고 아무도 없었다	2.5
우주의 구조	4.5
울분	4.5
달의 궁전	4.0
만들어진 신	5.0
그릿 GRIT	3.5
사피엔스	5.0
호모 데우스	4.5
