무소유	2.5
그건, 사랑이었네	4.5
봉순이 언니	4.0
한비야의 중국견문록	4.5
지도 밖으로 행군하라	4.5
난장이가 쏘아올린 작은 공	4.0
성공하는 사람들의 7가지 습관	4.5
오체 불만족	3.0
캣칭 파이어	4.0
미 비포 유	3.5
운수 좋은 날 「현진건」	3.0
참을 수 없는 존재의 가벼움	3.0
우리들의 일그러진 영웅	3.0
향수	3.0
가시고기	3.0
메이즈 러너	5.0
날개	4.0
몽실 언니	3.0
마음의 소리	3.5
낢이 사는 이야기	3.5
조명가게	4.0
외모지상주의 1	2.5
아파트	3.5
진격의 거인	4.5
이웃 사람	4.0
나루토 Naruto	4.0
완득이	3.0
사랑손님과 어머니	3.0
드래곤 볼	4.0
구운몽	3.5
헝거 게임	5.0
강철의 연금술사	3.0
데스 노트 Death Note	4.5
원미동 사람들	3.5
어린 왕자	3.0
신과 함께 : 신화편	5.0
완득이	3.5
빅 픽처	5.0
신과 함께 : 이승편	5.0
눈먼 자들의 도시	4.5
죽음에 관하여	5.0
슬램덩크	5.0
우리들의 행복한 시간	4.0
신과 함께 : 저승편	5.0
아프니까 청춘이다	4.5
어린 왕자	3.0
나무	2.5
어린 왕자	3.0
나의 라임 오렌지나무	3.0
위대한 개츠비	3.5
봄.봄 「김유정」	3.0
해리 포터와 죽음의 성물	3.0
명탐정 코난	4.0
원피스 ONE PIECE	4.0
