description	isbn
 공포, 피로, 당황, 놀람, 혼란, 좌절의 연속에 대한 한국 여자의 인생 현장 보고서!문학성과 다양성, 참신성을 기치로 한국문학의 미래를 이끌어 갈 신예들의 작품을 엄선한 「오늘의 젊은 작가」의 열세 번째 작품 『82년생 김지영』. 서민들의 일상 속 비극을 사실적이면서 공감대 높은 스토리로 표현하는 데...	9788937473135
" 2012년 12월 19일 국내 번역 출간된 이래 6년 연속 베스트셀러 순위 상위권을 차지하며 서점가에서 ""21세기 가장 경이로운 베스트셀러""라고 불리는 소설. '2008~2017년, 지난 10년간 한국에서 가장 많이 팔린 소설', 히가시노 게이고의 대표작 &lt;나미야 잡화점의 기적&gt;이 국내 누적 판매 100만 부를 돌파했다."	9788972756194
 10년전의 이른 봄, 작가는 한 여자가 베란다에서 식물이 되고, 함께 살던 남자는 그녀를 화분에 심는 이야기 『내 여자의 열매』를 집필하였다. 언젠가 그 변주를 쓰고 싶다는 생각에서 출발하게 된 것이 바로 이 연작소설 『채식주의자』이다. 표제작인 『채식주의자』, 2005년 이상문학상 수상작...	9788936433598
 언어에는 나름의 온도가 있다고 생각하는 저자가 일상에서 발견한 의미 있는 말과 글을 한 권의 책에 담았다. 저자는 단어의 어원과 유래, 그런 언어가 지닌 차가움과 따뜻함을 글감 삼아, 하찮아 보이는 것들의 소중함을 예찬한다.	9791195522125
 2017년 여름에 출간된 이후 '소설가들이 뽑은 올해의 소설'에 선정되고 동인문학상을 수상하는 등 뜨거운 지지 속에 꾸준히 사랑받아온 &lt;바깥은 여름&gt;을 출간 1주년을 기념하여 새로운 디자인으로 선보인다.	9788954646079
 김영하 소설집. &lt;무슨 일이 일어났는지는 아무도&gt; 이후 7년 만이다. 제9회 김유정문학상 수상작 '아이를 찾습니다', 제36회 이상문학상 수상작 '옥수수와 나'를 포함해 일곱 편이 실렸다.	9788954645614
 제1회 세계청소년문학상 수상작 &lt;내 인생의 스프링 캠프&gt;, 제5회 세계문학상 수상작 &lt;내 심장을 쏴라&gt; 작가 정유정의 장편소설. 수상 이후 오랜 시간 준비하여 야심 차게 내놓는 소설로, 치밀한 사전 조사와 압도적인 상상력으로 무장한 작품이다. 7년의 밤 동안 아버지와 아들에게 일어난 슬프고 신비로우며 통렬한 이야기가 펼쳐진다.	9788956604992
 첫 문장의 강렬함이 채 사라지기 전에 마지막 문장의 마침표까지, 숨 가쁘게 내달린다.&#x0D;그리고 문득 눈앞을 가리는 아득한 심연! &#x0D;&#x0D;수식어가 필요 없는 작가, 다른 누구도 아닌 바로 그 김영하다. 올해로 데뷔한 지 19년. 하지만 그는 독보적인 스타일로 여전히 가장 젊은 작가다. 그의 소설은...	9788954622035
 제10회 창비청소년문학상을 수상하며 등단한 손원평 작가의 첫 장편소설 &lt;아몬드&gt;가 출간 1년 만에 20만부를 맞아 선물용 특별판 &lt;아몬드&gt;를 선보인다. 세대를 넘나들며 독자들의 큰 사랑을 받은 &lt;아몬드&gt;는 문학성과 대중성을 아우르며 10대부터 60대까지 다양한 독자들을 단숨에 사로잡았다.	9788936434267
 우리는 모두 변화를 원한다. 지금보다 더 자유로운 삶, 지금보다 더 행복한 삶, 지금보다 더 성공적인 삶. 하지만 우리는 쉽게 핑계를 대고, 쉽게 포기한다. 지금 나의 인생을 되돌아보자. “내가 이렇게 된 것은 다 걔 때문이야”, “좀 더 부자인 집에서 태어났더라면 이렇게 살고 있지는 않을 텐데”라는 식으로...	9788996991342
 우리가 온전한 '나'로 살아가기 위해 무엇이 필요한지 말해주는 책이다. 돈 많고 잘나가는 타인의 SNS를 훔쳐보며 비참해질 필요 없고, 스스로에게 변명하고 모두에게 이해받으려 애쓰지 말라고 이야기한다. 불안하다고 무작정 열심히 할 필요 없고, 세상의 정답에 굴복하지 말라고 응원한다.	9791187119845
 이기주 작가의 신작 에세이집. 경청, 공감, 반응, 뒷말, 인향, 소음 등 24개의 키워드를 통해 말과 사람과 품격에 대한 생각들을 풀어낸다. 고전과 현대를 오가는 인문학적 소양을 바탕으로 이기주 작가 특유의 감성이 더해 볼거리와 생각할 거리를 동시에 전한다.	9788997092772
 정신과 의사 '윤답장' 선생의 자존감 셀프 코칭법. 자존감 전문가이자 정신과 의사인 윤홍균 원장이 2년 넘게 심혈을 기울여 쓴 책으로, 자존감이 우리 삶에 미치는 영향을 친절하게 알려주고, 자존감을 끌어올리는 실질적인 방법을 알려주고 있다.	9791186757093
 수많은 선택지와 기회비용 앞에서 인생의 목적을 잃어버린 채 가치관의 혼란을 겪는 현대인들에게 뜻밖의 깨달음을 전한다. 더 나은 삶으로 가기 위한 5가지 가치관을 제시하고, 수많은 선택지와 기회비용 앞에서 가치관의 혼란을 겪는 현대인들에게 뜻밖의 깨달음을 준다.	9788901219943
 섬세한 감수성과 치밀한 문장으로 인간 존재의 본질을 탐구해온 작가 한강의 여섯번째 장편소설. '상처의 구조에 대한 투시와 천착의 서사'를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명한다.	9788936434120
 펴내는 작품마다 압도적인 서사와 폭발적인 이야기의 힘으로 많은 독자들의 뜨거운 사랑을 받아온 정유정이 전작 &lt;28&gt; 이후 3년 만에 장편소설 &lt;종의 기원&gt;으로 독자들을 찾았다. 작품 안에서 늘 허를 찌르는 반전을 선사했던 작가답게, 이번 작품에서 정유정의 상상력은 전혀 다른 방향에서 빛을 발한다.	9788956609959
 이제 우리는 무엇을 인간이라고 할 것인가지금으로부터 10만 년 전, 지구에는 호모 사피엔스뿐만 아니라 네안데르탈인, 호모 에렉투스 등 최소 6종의 인간 종이 살아 있었다. 이후 호모 사피엔스 종만이 유일한 승자로 지구상에 살아남게 되었고, 이제 그들은 신의 영역까지 넘보고 있다. 『사피엔스』는 이처럼...	9788934972464
 자유인으로 돌아온 유시민, '어떻게 살 것인지'에 대해 되짚어본다!  정치인에서 자유인으로 돌아와 내놓은 유시민의 『어떻게 살 것인가』. 세상의 변화를 누구보다 예민하게 감지하면서 한 걸음 앞서 시대와 삶의 과제를 고민해 왔던 유시민이 정치시장을 떠나 지식시장으로 복귀하여 내놓은 첫 책이다. 이...	9788965132288
 히가시노 게이고의 첫 연애소설.‘연애’라는 낯선 소재에도 능숙하게 자기만의 색깔을 녹여내며, 흔히 볼 수 있는 평범한 사람들의 연애사를 스키장이라는 장소를 배경으로 맛깔나게 풀어낸다.	9791161903538
 27명의 조선의 왕들을 한 권으로 불러 모아 핵심적인 주요 사건들을 풀어쓴 책이다. 설민석 특유의 흡입력 있는 간결함과 재치 있는 말투를 구어체 그대로 책에다 담았다. 또한 실록에 등장하는 왕의 목소리를 현대어로 풀어써 당시의 정책과 주요 사건들이 일어난 배경을 명확히 이해하는 데 도움이 된다.	9788933870693
" 갑자기 선을 훅 넘는 사람들에게 감정의 동요 없이 ""금 밟으셨어요"" 하고 알려줄 방법은 없을까? 당연히 있다. 다만 그 방법을 실제로 사용하려면 연습이 좀 필요하다. 책에는 작가가 지금까지 시도한 훈련법 중 가장 효과적이었던 방법과 그 과정에서 깨달은 것들을 담았다."	9788957369364
 얼굴로 “뿡!”, 방귀를 “뿡!”&#x0D;입으로 뀌는 ‘방귀’로 사건을 해결하는 &#x0D;반전 매력의 주인공, ‘추리 천재 엉덩이 탐정’이 &#x0D;새로운 이야기로 찾아왔습니다!&#x0D;&#x0D;어느 날 갑자기 평화로운 동네에 키 5미터의 거인이 나타났다! 과연 거인의 정체는……?  이번 사건도 우리의 추리 천재...	9788937853470
 입으로 뀌는 ‘방귀’로 사건을 해결하는 반전 매력의 주인공, ‘추리 천재 엉덩이 탐정’과 함께 수수께끼를 풀고, 미로를 지나고, 숨은 그림을 찾다 보면 추리력과 사고력이 쑥쑥 자라나는 동화이다. 어린이 독자들이 자신의 추리력을 시험해 볼 수 있도록 기발한 사건들을 다뤘다.	9788937889714
 굴로 “뿡!”, 방귀를 “뿡!”&#x0D;입으로 뀌는 ‘방귀’로 사건을 해결하는 &#x0D;‘추리 천재 엉덩이 탐정’이 &#x0D;새로운 이야기로 찾아왔습니다!&#x0D;&#x0D;&#x0D;인생 최대의 라어벌 ‘괴도 유’를 만난 엉덩이 탐정!&#x0D;엉덩이 탐정 vs 괴도 유, &#x0D;이 한판 대결의 승자는 과연...	9788937848247
 모차르트 오페라 의 등장인물을 일본 아스카 시대로 옮겨놓은 듯한 그 그림을 가지고 내려온 뒤로, ‘나’의 주위에서 기이한 일들이 잇달아 일어난다. 『태엽 감는 새』 『1Q84』 등 기존의 본격 장편소설 세계관을 잇는, 현실과 비현실이 절묘하게 융합된 하루키 월드의 결정판이다.	9788954646123
 일본에서 큰 사랑을 받고 있는 아이큐 1,104의 추리 천재, ‘엉덩이 탐정’이 주인공인 초등 저학년 어린이들을 위한 추리 동화이다. 동화 글과 화려한 올컬러 삽화, 만화 구성으로 펼쳐져, 초등 저학년 어린이들의 흥미와 관심을 단번에 사로잡고 추리력과 사고력을 키워 줄 것이다.	9788937838750
 “소설가로서 최은영의 가장 큰 미덕은 &#x0D;그게 무슨 탐구든 반드시 근사한 이야기로 들려준다는 점이다. &#x0D;그녀가 앞으로 쓰게 될 근사한 이야기들이 바로 이 책에서 시작했다.” &#x0D;_김연수(소설가)&#x0D;&#x0D;&#x0D;2013년 겨울, 『작가세계』 신인상에 중편소설 「쇼코의 미소」가 당선되어 등단, 그...	9788954641630
 한국에서 14번째로 출간하는 기욤 뮈소의 장편소설이다. 2016년 작 &lt;브루클린의 소녀&gt;와 마찬가지로 본격 스릴러의 범주에 포함된다. 천재화가의 신비스런 창작 세계, 예술가들의 고뇌와 열정을 엿볼 수 있는 소설이자 납치된 아들을 찾기 위한 아버지의 간절한 이야기를 담고 있다.	9788984373358
 히가시노 게이고 장편소설. 아버지 소유의 별장 근처 작은 교회에서 결혼식을 올리는 것이 꿈이었던 도모미는 그 꿈이 이루어질 날을 불과 일주일 앞두고 식장으로 예정된 교회에 다녀오다가 운전 부주의로 인해 가드레일을 들이받고 절벽에서 추락해 사망한다.	9788990982575
 지난 10년간 국내에서 가장 많은 사랑을 받은 소설, 전 세계 1000만 부 이상 판매고를 올린 베스트셀러 &lt;나미야 잡화점의 기적&gt; 작가 히가시노 게이고의 소설집. 2011년부터 2016년까지 문예지 등에 발표한 아홉 편의 신작 단편을 모았다.	9788972758426
 일본 추리소설계를 대표하는 최고의 베스트셀러 작가 히가시노 게이고가 2015년, 데뷔 30주년 기념작으로 선보인 작품. 가도카와 쇼텐 출판사 창립 70주년 기념작이기도 한 이번 작품은 제31회 에도가와란포상을 수상한 데뷔작 &lt;방과 후&gt; 이후 통산 80번째 단행본이다.	9788972757573
 나는 ‘감히’ 합리적 개인주의자들의 사회를 꿈꾼다!근대적인 의미에서 ‘개인’이란, 한 명의 시민으로서 자신의 권리와 의무를 합리적으로 수행하는 자이다. 그러나 우리 사회에서 개인은 어떤 모습인가? 집단의 화합과 전진을 저해하는 배신자. 그러하기에 한국에서 개인으로 살아가기란 어렵고 외로운...	9788954637756
 ‘추리 천재 엉덩이 탐정’ 시리즈 다섯 번째. 고대 유적이 숨겨져 있는 정글을 무대로, 더욱 냄새 나는 다섯 번째 사건을 해결한다. 초등 저, 중학년 수준에 딱 맞는 추리 난이도를 설정하여, 《추리 천재 엉덩이 탐정 1, 2, 3, 4》를 읽고 추리의 기본을 잘 다진 어린이 독자들이 자신의 추리력을 시험해 볼 수...	9791162332542
 본격과 사회파 미스터리부터 서스펜스, 판타지, SF, 로맨스 등에 이르기까지 다양한 장르를 오간 수많은 작품들 속에서도 매번 흡입력 있는 전개와 강렬한 독후감을 선사한 이야기꾼 히가시노 게이고가 더욱 유쾌하고 매혹적인 스토리로 돌아왔다.	9788972758242
 단순한 그림체에 담긴 가슴 따뜻한 대사와 철학적인 메시지 때문에 좋아할 수 밖에 없는 30년 동안 전세계 천만 독자의 마음을 다독인 아기 해달 보노보노. 아직도 사는 데 소질 없는 우리를 위로해줄 보노보노의 이야기. &lt;서른은 예쁘다&gt;의 저자 김신회가 보노보노 속 주옥같은 위로의 문장들을 발견했다.	9791130611853
 모차르트 오페라 의 등장인물을 일본 아스카 시대로 옮겨놓은 듯한 그 그림을 가지고 내려온 뒤로, ‘나’의 주위에서 기이한 일들이 잇달아 일어난다. 『태엽 감는 새』 『1Q84』 등 기존의 본격 장편소설 세계관을 잇는, 현실과 비현실이 절묘하게 융합된 하루키 월드의 결정판이다.	9788954646130
 웬만하면 마주치고 싶지 않은 까칠한 이웃 남자, 오베가 나타났다!무엇이든 발길질을 하며 상태를 확인하는 남자. BMW 운전자와는 말도 섞지 않는 남자. 키보드 없는 아이패드에 분노하는 남자. 매일 아침 6시 15분 전 알람도 없이 깨어나 항상 같은 시간, 같은 양의 커피를 내려 아내와 한 잔씩 나누어 마시고 마을...	9791130605210
