author,bookImage,bookname,classno,isbn,loanCnt,publication_year,publisher
조남주, https://bookthumb-phinf.pstatic.net/cover/112/111/11211133.jpg?type=m1&udate=20180530,82년생 김지영,813,9788937473135,7629,2016, 민음사
히가시노게이고, http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg,나미야 잡화점의 기적,833,9788972756194,6725,2012, 현대문학
한강, https://bookthumb-phinf.pstatic.net/cover/033/094/03309417.jpg?type=m1&udate=20180609,채식주의자,813,9788936433598,4417,2007, 창비
이기주, http://image.aladin.co.kr/product/14842/6/cover/k742532452_1.jpg,언어의 온도,818,9791195522125,5174,2016, 말글터
김애란, http://image.aladin.co.kr/product/15533/81/cover/k852533629_1.jpg,바깥은 여름,813,9788954646079,3389,2017, 문학동네
김영하, http://image.aladin.co.kr/product/10949/50/cover/8954645615_2.jpg,오직 두 사람,813,9788954645614,4086,2017, 문학동네
정유정, http://image.aladin.co.kr/product/14712/55/cover/k202532053_1.jpg,7년의 밤,813,9788956604992,3030,2011, 은행나무
김영하, https://bookthumb-phinf.pstatic.net/cover/072/622/07262295.jpg?type=m1&udate=20180314,살인자의 기억법,813,9788954622035,3750,2013, 문학동네
손원평, http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg,아몬드 (양장 특별 한정판),0,9788936434267,4025,2017, 창비
기시미이치로, https://bookthumb-phinf.pstatic.net/cover/083/399/08339910.jpg?type=m1&udate=20180616,미움받을 용기,189,9788996991342,3638,2014, 인플루엔셜
김수현, http://image.aladin.co.kr/product/16751/86/cover/k642534567_2.jpg,나는 나로 살기로 했다,818,9791187119845,3791,2016, 마음의숲
이기주, http://image.aladin.co.kr/product/10869/79/cover/s852531536_1.jpg,말의 품격,818,9788997092772,3326,2017, 황소북스
윤홍균, http://image.aladin.co.kr/product/8679/31/cover/k372535696_1.jpg,자존감 수업,182,9791186757093,3328,2016, 심플라이프
마크맨슨, https://image.aladin.co.kr/product/12005/79/cover/8901219948_1.jpg,신경 끄기의 기술,199,9788901219943,3257,2017, 웅진씽크빅
한강, http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,소년이 온다,813,9788936434120,3230,2014, 창비
정유정, http://image.aladin.co.kr/product/7492/9/cover/8956609950_2.jpg,종의 기원 =정유정 장편소설 /The origin of species,813,9788956609959,2956,2016, 은행나무
유발하라리, https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721,사피엔스,909,9788934972464,3645,2015, 김영사
유시민, https://bookthumb-phinf.pstatic.net/cover/071/503/07150363.jpg?type=m1&udate=20151014,어떻게 살 것인가,340,9788965132288,3283,2013, 아름다운사람들
히가시노게이고, http://image.aladin.co.kr/product/13056/2/cover/k532532897_1.jpg,연애의 행방,833,9791161903538,3493,2018, 소미미디어
설민석, http://image.aladin.co.kr/product/8749/45/cover/8933870695_3.jpg,설민석의 조선왕조실록,911,9788933870693,3133,2016, 세계사
정문정, http://image.aladin.co.kr/product/12769/86/cover/8957369368_1.jpg,무례한 사람에게 웃으며 대처하는 법,189,9788957369364,3675,2018, 가나문화콘텐츠
트롤, https://bookthumb-phinf.pstatic.net/cover/113/327/11332741.jpg?type=m1&udate=20161209,(추리 천재) 엉덩이 탐정,833,9788937853470,3356,2016, 미래엔
트롤, http://image.aladin.co.kr/product/10644/93/cover/8937889714_1.jpg,(추리 천재) 엉덩이 탐정,833,9788937889714,3344,2016, 미래엔
